company,category,buyer_role_target,priority_bucket,linkedin_search_query,verify_before_sending,channel_priority,personalization_UA,first_DM_UA,follow_up_1_UA,personalization_RU,first_DM_RU,follow_up_1_RU,status
Booster,professional,Owner / Head of Sales,C,"""Booster"" (курси) (founder OR sales) Ukraine",існування/модель; домен,Telegram > Instagram,"Якщо у вас продаж через менеджера — покажу, де саме в дзвінку втрачається оплата.","[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Якщо у вас продаж через менеджера — покажу, де саме в дзвінку втрачається оплата. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Если у вас продажа через менеджера — покажу, где именно в звонке теряется оплата.","[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Если у вас продажа через менеджера — покажу, где именно в звонке теряется оплата. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
ELVTR,professional,Head of Sales,C,"""ELVTR"" ""Head of Sales""",ринок (US/UK) vs UA — чи наш ICP,LinkedIn > Email,"Висока ціна й довгий діалог означають, що дзвінок майже завжди визначає угоду.","[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Висока ціна й довгий діалог означають, що дзвінок майже завжди визначає угоду. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Высокая цена и длинный диалог означают, что звонок почти всегда определяет сделку.","[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Высокая цена и длинный диалог означают, что звонок почти всегда определяет сделку. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Green Forest,English,Head of Sales / Owner,A,"(""Green Forest"" англійськ) (""Head of Sales"" OR owner)",ЛПР; обсяг заявок,Instagram > Email > LinkedIn,У вас безкоштовний пробний урок — конверсія з нього в оплату і є головною точкою втрати.,"[Ім'я], вітаю! Роблю для онлайн-шкіл розбір дзвінків приймальної — де між заявкою й оплатою втрачається виручка. У вас безкоштовний пробний урок — конверсія з нього в оплату і є головною точкою втрати. Софт не продаю. Хочу за 15 хв перевірити, чи це релевантно для Green Forest. Знайдемо час цього тижня?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",У вас бесплатный пробный урок — конверсия из него в оплату и есть главная точка потери.,"[Имя], здравствуйте! Делаю для онлайн-школ разбор звонков приёмной — где между заявкой и оплатой теряется выручка. У вас бесплатный пробный урок — конверсия из него в оплату и есть главная точка потери. Софт не продаю. Хочу за 15 мин проверить, релевантно ли это для Green Forest. Найдём время на этой неделе?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
EnglishDom,English,Head of Sales / CMO,A,"(""EnglishDom"") (""Head of Sales"" OR CMO)",UA vs глобальна воронка; ЛПР,LinkedIn > Email,При вашому потоці лідів навіть невеликий % втрати в дзвінку — це відчутні гроші.,"[Ім'я], вітаю! Роблю для онлайн-шкіл розбір дзвінків приймальної — де між заявкою й оплатою втрачається виручка. При вашому потоці лідів навіть невеликий % втрати в дзвінку — це відчутні гроші. Софт не продаю. Хочу за 15 хв перевірити, чи це релевантно для EnglishDom. Знайдемо час цього тижня?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",При вашем потоке лидов даже небольшой % потери в звонке — это ощутимые деньги.,"[Имя], здравствуйте! Делаю для онлайн-школ разбор звонков приёмной — где между заявкой и оплатой теряется выручка. При вашем потоке лидов даже небольшой % потери в звонке — это ощутимые деньги. Софт не продаю. Хочу за 15 мин проверить, релевантно ли это для EnglishDom. Найдём время на этой неделе?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Grade Education Centre,English,Owner / Head of Sales,B,"(""Grade Education"") (owner OR ""Head of Sales"") Ukraine",онлайн-продаж через дзвінок; домен,Email > Instagram,У преміальному сегменті перший дзвінок формує довіру і ціну рішення — там і ризик.,"[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. У преміальному сегменті перший дзвінок формує довіру і ціну рішення — там і ризик. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",В премиальном сегменте первый звонок формирует доверие и цену решения — там и риск.,"[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. В премиальном сегменте первый звонок формирует доверие и цену решения — там и риск. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Cambridge.ua,English,Owner / Sales,B,"(""Cambridge"" англійськ Ukraine) (owner OR sales)",яка саме Cambridge; домен,Email > Instagram,"Розрив «сподобалось, але не купив» найчастіше народжується в дзвінку після пробного.","[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Розрив «сподобалось, але не купив» найчастіше народжується в дзвінку після пробного. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Разрыв «понравилось, но не купил» чаще всего рождается в звонке после пробного.","[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Разрыв «понравилось, но не купил» чаще всего рождается в звонке после пробного. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
English Prime,English,Owner / Sales,B,"(""English Prime"" Ukraine) (owner OR sales)",розмір; чи є відділ продажів,Instagram > Email,Recurring-формат: відпрацьовка на старті впливає на LTV на місяці вперед.,"[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Recurring-формат: відпрацьовка на старті впливає на LTV на місяці вперед. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",Recurring-формат: отработка на старте влияет на LTV на месяцы вперёд.,"[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Recurring-формат: отработка на старте влияет на LTV на месяцы вперёд. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Empire English School,English,Owner / Sales,C,"(""Empire English School"") (owner OR sales)",обсяг; домен,Instagram > Email,"Пробний урок проходить добре, а оплати немає — питання саме в дзвінку після нього.","[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Пробний урок проходить добре, а оплати немає — питання саме в дзвінку після нього. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Пробный урок проходит хорошо, а оплаты нет — вопрос именно в звонке после него.","[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Пробный урок проходит хорошо, а оплаты нет — вопрос именно в звонке после него. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Allright,English,Head of Sales,B,"""Allright"" (""Head of Sales"" OR sales) English",UA-команда продажів; домен,LinkedIn > Instagram,"Дзвінок батькам — це продаж довіри, а не курсу, і саме там вона найчастіше втрачається.","[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Дзвінок батькам — це продаж довіри, а не курсу, і саме там вона найчастіше втрачається. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Звонок родителям — это продажа доверия, а не курса, и именно там оно чаще всего теряется.","[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Звонок родителям — это продажа доверия, а не курса, и именно там оно чаще всего теряется. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Novakid,English,Head of Sales,B,"""Novakid"" (""Head of Sales"" OR sales)",де UA-команда; релевантність ринку,LinkedIn > Email,"Високий LTV дитини означає, що одна врятована родина окуповує аудит багаторазово.","[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Високий LTV дитини означає, що одна врятована родина окуповує аудит багаторазово. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Высокий LTV ребёнка означает, что одна спасённая семья окупает аудит многократно.","[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Высокий LTV ребёнка означает, что одна спасённая семья окупает аудит многократно. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Speak Up / Speakout,English,Owner / Sales,C,"(""Speak Up"" OR Speakout English Ukraine) (owner OR sales)",яка саме мережа; домен,Instagram > Email,"Trial плюс консультація — і саме в тому дзвінку вирішується, буде оплата чи ні.","[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Trial плюс консультація — і саме в тому дзвінку вирішується, буде оплата чи ні. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Trial плюс консультация — и именно в том звонке решается, будет оплата или нет.","[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Trial плюс консультация — и именно в том звонке решается, будет оплата или нет. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Vocabulaba (Laba Group),English,Head of Sales,B,"(""Vocabulaba"" OR ""Laba Group"") ""продажів""",окрема воронка; ЛПР,LinkedIn > Email,English для професій із recurring-оплатою — старт у дзвінку впливає на LTV надовго.,"[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. English для професій із recurring-оплатою — старт у дзвінку впливає на LTV надовго. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",English для профессий с recurring-оплатой — старт в звонке влияет на LTV надолго.,"[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. English для профессий с recurring-оплатой — старт в звонке влияет на LTV надолго. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Optima (Оптіма),NMT/distance,Owner / Head of Admissions,A,"(""Optima"" OR Оптіма дистанційна школа) (директор OR admissions)",чи платний запис через дзвінок; ЛПР,Email > Instagram > LinkedIn,"Сезон вступу стиснутий — заявка, втрачена в дзвінку зараз, навряд чи повернеться згодом.","[Ім'я], вітаю! Роблю для онлайн-шкіл розбір дзвінків приймальної — де між заявкою й оплатою втрачається виручка. Сезон вступу стиснутий — заявка, втрачена в дзвінку зараз, навряд чи повернеться згодом. Софт не продаю. Хочу за 15 хв перевірити, чи це релевантно для Optima (Оптіма). Знайдемо час цього тижня?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Сезон поступления сжатый — заявка, потерянная в звонке сейчас, вряд ли вернётся позже.","[Имя], здравствуйте! Делаю для онлайн-школ разбор звонков приёмной — где между заявкой и оплатой теряется выручка. Сезон поступления сжатый — заявка, потерянная в звонке сейчас, вряд ли вернётся позже. Софт не продаю. Хочу за 15 мин проверить, релевантно ли это для Optima (Оптіма). Найдём время на этой неделе?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
ThinkGlobal,NMT/distance,Owner / Admissions,B,"(""ThinkGlobal"" дистанційна школа) (директор OR admissions)",воронка запису; ЛПР; домен,Email > Instagram,"Преміальна школа — рішення про вступ дороге, і його якість залежить від одного дзвінка приймальної.","[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Преміальна школа — рішення про вступ дороге, і його якість залежить від одного дзвінка приймальної. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Премиальная школа — решение о поступлении дорогое, и его качество зависит от одного звонка приёмной.","[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Премиальная школа — решение о поступлении дорогое, и его качество зависит от одного звонка приёмной. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Атмосферна школа,NMT/distance,Owner / Sales,B,"(""Атмосферна школа"" OR ""Atmosphere school"") директор",обсяг продажів; домен,Email > Instagram,"Рішення про вступ приймає батько по телефону — якість одного дзвінка впливає і на вступ, і на виручку.","[Ім'я], вітаю! Допомагаю онлайн-школам побачити, де частина заявок не доходить до оплати через самі дзвінки. Рішення про вступ приймає батько по телефону — якість одного дзвінка впливає і на вступ, і на виручку. За 15 хв покажу підхід і чесно скажу, чи вам це зараз потрібно. Цікаво коротко перевірити релевантність?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Решение о поступлении принимает родитель по телефону — качество одного звонка влияет и на поступление, и на выручку.","[Имя], здравствуйте! Помогаю онлайн-школам увидеть, где часть заявок не доходит до оплаты из-за самих звонков. Решение о поступлении принимает родитель по телефону — качество одного звонка влияет и на поступление, и на выручку. За 15 мин покажу подход и честно скажу, нужно ли вам это сейчас. Интересно коротко проверить релевантность?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
JAMM School,NMT/distance,Owner,C,"(""JAMM School"" Ukraine) директор",модель; домен,Email > Instagram,Запис у школу йде через консультацію — і частина вступників вирішує саме там.,"[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Запис у школу йде через консультацію — і частина вступників вирішує саме там. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",Запись в школу идёт через консультацию — и часть поступающих решает именно там.,"[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Запись в школу идёт через консультацию — и часть поступающих решает именно там. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Liko Education Online,NMT/distance,Owner / Admissions,C,"(""Liko Education"" Ukraine) (директор OR admissions)",існування/статус; домен,Email > Instagram,У преміум-сегменті перший контакт із приймальною формує довіру — там і ризик втратити родину.,"[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. У преміум-сегменті перший контакт із приймальною формує довіру — там і ризик втратити родину. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",В премиум-сегменте первый контакт с приёмной формирует доверие — там и риск потерять семью.,"[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. В премиум-сегменте первый контакт с приёмной формирует доверие — там и риск потерять семью. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Unicorn School,NMT/distance,Owner / Sales,C,"(""Unicorn School"" Ukraine онлайн) директор",обсяг; домен,Instagram > Email,"Батьківський дзвінок визначає вступ — у ньому добре видно, де саме втрачається довіра.","[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Батьківський дзвінок визначає вступ — у ньому добре видно, де саме втрачається довіра. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Родительский звонок определяет поступление — в нём хорошо видно, где именно теряется доверие.","[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Родительский звонок определяет поступление — в нём хорошо видно, где именно теряется доверие. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Kebeta Online,NMT/distance,Owner / Admissions,C,"(""Kebeta"" дистанційна школа Ukraine) admissions",статус; домен,Email > Instagram,На піку сезону приймальна не встигає опрацювати всі гарячі заявки — частина залишається без відповіді.,"[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. На піку сезону приймальна не встигає опрацювати всі гарячі заявки — частина залишається без відповіді. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.",На пике сезона приёмная не успевает обработать все горячие заявки — часть остаётся без ответа.,"[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. На пике сезона приёмная не успевает обработать все горячие заявки — часть остаётся без ответа. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
BeSmart,NMT/distance,Owner,C,"(""BeSmart"" підготовка Ukraine) (засновник OR директор)",розмір (можливо малий); домен,Telegram > Instagram,"Попит сезонний — і саме на піку, коли заявок найбільше, втрачається найбільше виручки в дзвінках.","[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Попит сезонний — і саме на піку, коли заявок найбільше, втрачається найбільше виручки в дзвінках. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Спрос сезонный — и именно на пике, когда заявок больше всего, теряется больше всего выручки в звонках.","[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Спрос сезонный — и именно на пике, когда заявок больше всего, теряется больше всего выручки в звонках. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Soborna School,NMT/distance,Owner / Admissions,C,"(""Soborna School"" OR ""Соборна школа"") admissions",існування/статус; домен,Email > Instagram,"У дистанційній школі батьківський дзвінок — ключ до вступу, тож кожен слабкий діалог дорого коштує.","[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. У дистанційній школі батьківський дзвінок — ключ до вступу, тож кожен слабкий діалог дорого коштує. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","В дистанционной школе родительский звонок — ключ к поступлению, поэтому каждый слабый диалог дорого стоит.","[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. В дистанционной школе родительский звонок — ключ к поступлению, поэтому каждый слабый диалог дорого стоит. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
Школа «Світ Знань»,NMT/distance,Owner / Admissions,C,"(""Світ знань"" школа дистанційна) admissions",існування/назва/домен,Email > Instagram,"Запис у школу йде через консультацію — і саме той дзвінок впливає, чи залишиться родина у вас.","[Ім'я], вітаю! Дивлюся для онлайн-шкіл, де в дзвінках із заявками втрачаються оплати. Запис у школу йде через консультацію — і саме той дзвінок впливає, чи залишиться родина у вас. Без продажу софту — 15 хв, щоб зрозуміти, чи релевантно для вас. Відкриті до короткої розмови?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Запись в школу идёт через консультацию — и именно тот звонок влияет, останется ли семья у вас.","[Имя], здравствуйте! Смотрю для онлайн-школ, где в звонках с заявками теряются оплаты. Запись в школу идёт через консультацию — и именно тот звонок влияет, останется ли семья у вас. Без продажи софта — 15 мин, чтобы понять, релевантно ли для вас. Открыты к короткому разговору?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
GoITeens,children,Head of Sales / Marketing Lead,A,"""GoITeens"" (""Head of Sales"" OR Marketing)",ЛПР; CRM,LinkedIn > Instagram,"Рішення приймає батько по телефону — один дзвінок впливає і на запис дитини, і на вашу виручку.","[Ім'я], вітаю! Роблю для онлайн-шкіл розбір дзвінків приймальної — де між заявкою й оплатою втрачається виручка. Рішення приймає батько по телефону — один дзвінок впливає і на запис дитини, і на вашу виручку. Софт не продаю. Хочу за 15 хв перевірити, чи це релевантно для GoITeens. Знайдемо час цього тижня?","[Ім'я], нагадаю про себе. Якщо тема дзвінків приймальної зараз не на часі — скажіть, не відволікатиму. Якщо актуально — 15 хв вистачить, щоб зрозуміти, чи є сенс.","Решение принимает родитель по телефону — один звонок влияет и на запись ребёнка, и на вашу выручку.","[Имя], здравствуйте! Делаю для онлайн-школ разбор звонков приёмной — где между заявкой и оплатой теряется выручка. Решение принимает родитель по телефону — один звонок влияет и на запись ребёнка, и на вашу выручку. Софт не продаю. Хочу за 15 мин проверить, релевантно ли это для GoITeens. Найдём время на этой неделе?","[Имя], напомню о себе. Если тема звонков приёмной сейчас не ко времени — скажите, не буду отвлекать. Если актуально — 15 минут хватит, чтобы понять, есть ли смысл.",new
